ngram,tfidf,n,type
احراز هویت,164.5406,2,bigram
انتقال وجه,109.1067,2,bigram
همراه بانک,58.2173,2,bigram
حساب مبدا,52.1759,2,bigram
شماره کارت,48.9459,2,bigram
دستیار هوشمند,48.2786,2,bigram
مدیریت حساب,44.6609,2,bigram
شارژ حساب,44.5049,2,bigram
کارت کارت,43.5296,2,bigram
شماره حساب,42.1302,2,bigram
پرداخت قبض,38.2555,2,bigram
مانده حساب,37.0837,2,bigram
درخواست وام,35.4725,2,bigram
خرید شارژ,33.2328,2,bigram
حساب کارت,33.1772,2,bigram
سایر کارت,32.7958,2,bigram
افتتاح حساب,32.2692,2,bigram
صدور کارت,30.946,2,bigram
خرید اینترنتی,30.297,2,bigram
بستن حساب,27.879,2,bigram
عالی سریع,26.5881,2,bigram
زمان تراکنش,25.1069,2,bigram
نمیشود بررسی,24.9728,2,bigram
فرایندی بینی,24.6359,2,bigram
بینی ایجاد,24.6359,2,bigram
حساب فرایندی,24.6359,2,bigram
هوش مصنوعی,24.4305,2,bigram
نظر کاربر,23.633,2,bigram
حساب صفحه,23.5262,2,bigram
بروز نمیشود,23.0137,2,bigram
فرایندی بینی ایجاد,28.2902,3,trigram
بستن حساب فرایندی,28.2902,3,trigram
حساب فرایندی بینی,28.2902,3,trigram
مانده حساب مبدا,26.9329,3,trigram
مبدا زمان تراکنش,23.7739,3,trigram
حساب مبدا زمان,23.7739,3,trigram
زمان خاصی دستی,23.1233,3,trigram
زمان تراکنش بروز,23.1233,3,trigram
بروز نمیشود بررسی,23.1233,3,trigram
بروز زمان خاصی,23.1233,3,trigram
دستی بروز نمیشود,23.1233,3,trigram
تراکنش بروز زمان,23.1233,3,trigram
خاصی دستی بروز,23.1233,3,trigram
براساس نظر کاربر,21.962,3,trigram
پر کاربرد تمرین,20.6403,3,trigram
کلیک خودداری سرعت,20.6403,3,trigram
صفحه ورودی مدیریت,20.6403,3,trigram
حساب صفحه کلیک,20.6403,3,trigram
خودداری سرعت افزایش,20.6403,3,trigram
صفحه کلیک خودداری,20.6403,3,trigram
حساب انتخابی براساس,20.6403,3,trigram
چیدمان حساب انتخابی,20.6403,3,trigram
کاربرد تمرین حساب,20.6403,3,trigram
ورودی مدیریت حساب,20.6403,3,trigram
نظر کاربر پر,20.6403,3,trigram
کاربر پر کاربرد,20.6403,3,trigram
مدیریت حساب چیدمان,20.6403,3,trigram
انتخابی براساس نظر,20.6403,3,trigram
تمرین حساب صفحه,20.6403,3,trigram
حساب چیدمان حساب,20.6403,3,trigram
