ngram,tfidf,n,type
احراز هویت,142.7574,2,bigram
انتقال وجه,67.539,2,bigram
حساب مبدا,40.8893,2,bigram
دستیار هوشمند,37.4844,2,bigram
مانده حساب,34.0263,2,bigram
شماره کارت,33.7456,2,bigram
همراه بانک,30.2924,2,bigram
درخواست وام,30.2089,2,bigram
کارت کارت,29.0284,2,bigram
صدور کارت,26.6603,2,bigram
شماره حساب,25.9471,2,bigram
افتتاح حساب,25.5231,2,bigram
بستن حساب,25.0051,2,bigram
حساب فرایندی,24.5461,2,bigram
فرایندی بینی,24.5461,2,bigram
بینی ایجاد,24.5461,2,bigram
زمان تراکنش,24.3829,2,bigram
شارژ حساب,24.1809,2,bigram
نمیشود بررسی,23.9518,2,bigram
خرید شارژ,23.7929,2,bigram
پرداخت قبض,23.0162,2,bigram
بروز نمیشود,22.9698,2,bigram
زمان خاصی,22.4312,2,bigram
تراکنش بروز,22.4312,2,bigram
خاصی دستی,22.4312,2,bigram
بروز زمان,22.4312,2,bigram
مبدا زمان,22.4312,2,bigram
دستی بروز,22.4312,2,bigram
هوش مصنوعی,20.5267,2,bigram
حساب کارت,20.4223,2,bigram
فرایندی بینی ایجاد,28.2902,3,trigram
بستن حساب فرایندی,28.2902,3,trigram
حساب فرایندی بینی,28.2902,3,trigram
مانده حساب مبدا,27.325,3,trigram
بروز نمیشود بررسی,23.1158,3,trigram
تراکنش بروز زمان,23.1158,3,trigram
بروز زمان خاصی,23.1158,3,trigram
حساب مبدا زمان,23.1158,3,trigram
زمان خاصی دستی,23.1158,3,trigram
زمان تراکنش بروز,23.1158,3,trigram
خاصی دستی بروز,23.1158,3,trigram
دستی بروز نمیشود,23.1158,3,trigram
مبدا زمان تراکنش,23.1158,3,trigram
دستور بررسی صادر,18.5685,3,trigram
قسمت انتقال وجه,13.9751,3,trigram
منابع سایر کارت,13.6667,3,trigram
کارت شبکه بانکی,13.6667,3,trigram
مسیر خرید اینترنتی,13.6667,3,trigram
خرید اینترنتی منابع,13.6667,3,trigram
سایر کارت شبکه,13.6667,3,trigram
شارژ حساب مسیر,13.6667,3,trigram
اینترنتی منابع سایر,13.6667,3,trigram
حساب مسیر خرید,13.6667,3,trigram
شبکه بانکی باتشکر,13.6667,3,trigram
حساب مبدا نمایش,12.8881,3,trigram
ترتیب نمایش حساب,12.8833,3,trigram
قسمت احراز هویت,12.8538,3,trigram
ارتباط بین هرحساب,12.4791,3,trigram
بین هرحساب هرکارت,12.4791,3,trigram
احراز هویت خطا,11.7419,3,trigram
