ngram,tfidf,n,type
انتقال وجه,33.1182,2,bigram
عالی سریع,26.7109,2,bigram
همراه بانک,21.1978,2,bigram
پرداخت قبض,15.2065,2,bigram
عالی عالی,13.9942,2,bigram
سریع عالی,11.6859,2,bigram
کارت کارت,11.3837,2,bigram
شماره کارت,11.0079,2,bigram
شماره حساب,10.0189,2,bigram
خرید شارژ,9.4901,2,bigram
فوق العاده,9.2128,2,bigram
سرعت عالی,8.6576,2,bigram
تاریخ انقضا,7.0378,2,bigram
خوب سریع,7.0,2,bigram
سایر بانک,6.904,2,bigram
احراز هویت,6.8243,2,bigram
سریع راحت,6.7558,2,bigram
افتتاح حساب,6.4032,2,bigram
حساب کارت,6.1352,2,bigram
حساب مقصد,5.9404,2,bigram
خدا قوت,5.822,2,bigram
عالی کاربردی,5.7142,2,bigram
سرعت خوب,5.678,2,bigram
خوب عالی,5.6044,2,bigram
دمتون گرم,5.5286,2,bigram
برنامه عالی,5.4687,2,bigram
تجربه خوبی,5.4473,2,bigram
عالی مرسی,5.0,2,bigram
دستیار هوشمند,4.8266,2,bigram
سیم کارت,4.5946,2,bigram
عالی عالی عالی,7.535,3,trigram
سرعت پرداخت قبض,5.0,3,trigram
همانند همراه بانک,4.7152,3,trigram
قسمت انتقال وجه,4.5121,3,trigram
عالی شادو پیروز,4.0,3,trigram
تسهیلات شایان نیک,4.0,3,trigram
پرداخت قبض تلفن,4.0,3,trigram
انتقال وجه عالی,3.9715,3,trigram
نام نام خانوادگی,3.403,3,trigram
حساب نیک شایان,3.0,3,trigram
ثبت نام اولیه,3.0,3,trigram
تست واریز موفقیت,3.0,3,trigram
توصیه گر وام,3.0,3,trigram
تغییر رمز کارت,3.0,3,trigram
کارت تاریخ انقضا,3.0,3,trigram
کارت ب کارت,3.0,3,trigram
پیشنهاد توصیف تجربه,3.0,3,trigram
مستقیم غیر مستقیم,3.0,3,trigram
روش انتقال وجه,3.0,3,trigram
سرعت انتقال وجه,2.7273,3,trigram
حساب شماره حساب,2.7071,3,trigram
شماره حساب کارت,2.6641,3,trigram
عالی دمتون گرم,2.604,3,trigram
کارت سایر بانک,2.5774,3,trigram
همانند بلو بانک,2.4766,3,trigram
شماره حساب مقصد,2.3184,3,trigram
عالی عالی پرتغالی,2.2388,3,trigram
حساب کارت شبا,2.0196,3,trigram
حساب شماره کارت,2.0026,3,trigram
شماره حساب شماره,1.9916,3,trigram
